         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.000    0.000    0.009    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.033    0.033 hmac.py:1(<module>)
        1    0.000    0.000    0.023    0.023 socket.py:1(<module>)
        2    0.000    0.000    0.067    0.033 request.py:1(<module>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:373(_freeze_relations)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
    28/12    0.000    0.000    0.747    0.062 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
       24    0.000    0.000    0.002    0.000 typing.py:1430(__getitem__)
      292    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
    38/29    0.000    0.000    0.022    0.001 css_parser.py:726(parse_pseudo_open)
       63    0.000    0.000    0.001    0.000 typing.py:1130(__init__)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.037    0.037 ssl.py:1(<module>)
        1    0.000    0.000    0.136    0.136 css_parser.py:1(<module>)
      242    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       73    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
      198    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
        7    0.000    0.000    0.005    0.001 typing.py:2739(_make_nmtuple)
      286    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       24    0.000    0.000    0.000    0.000 typing.py:331(_remove_dups_flatten)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
        3    0.000    0.000    0.010    0.003 response.py:1(<module>)
        2    0.000    0.000    0.006    0.003 connection.py:1(<module>)
        1    0.000    0.000    0.059    0.059 adapters.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.010    0.005 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mbcssm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      125    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       36    0.000    0.000    0.002    0.000 typing.py:1439(copy_with)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2189(__init__)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1682(path_hook_for_FileFinder)
        1    0.000    0.000    0.032    0.032 url.py:1(<module>)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      243    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      113    0.000    0.000    0.001    0.000 enum.py:197(__get__)
        2    0.000    0.000    0.302    0.151 exceptions.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       41    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      186    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       30    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.015    0.015 css_match.py:1(<module>)
     18/7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       43    0.000    0.000    0.000    0.000 ipaddress.py:1886(__init__)
       13    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        1    0.000    0.000    0.123    0.123 client.py:1(<module>)
       33    0.000    0.000    0.000    0.000 typing.py:1159(__getattr__)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
    27/26    0.000    0.000    0.114    0.004 <frozen importlib._bootstrap_external>:1295(exec_module)
        2    0.000    0.000    0.004    0.002 socks.py:1(<module>)
        2    0.000    0.000    0.087    0.043 api.py:1(<module>)
       14    0.000    0.000    0.004    0.000 hashlib.py:126(__get_openssl_constructor)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 tempfile.py:860(TemporaryDirectory)
        1    0.000    0.000    0.049    0.049 connectionpool.py:1(<module>)
      195    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       19    0.000    0.000    0.001    0.000 ipaddress.py:1475(__init__)
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.050    0.050 cookiejar.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      139    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.020    0.020 shutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:396(_default_mime_types)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
        2    0.000    0.000    0.023    0.011 core.py:1(<module>)
       81    0.000    0.000    0.001    0.000 typing.py:709(<genexpr>)
        1    0.000    0.000    0.010    0.010 random.py:1(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:772(__delattr__)
      184    0.000    0.000    0.000    0.000 typing.py:1546(__eq__)
       12    0.000    0.000    0.001    0.000 typing.py:1529(__getitem__)
        1    0.000    0.000    0.072    0.072 ssl_.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:1079(_generic_init_subclass)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.023    0.023 sbcsgroupprober.py:1(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
    55/34    0.000    0.000    0.000    0.000 typing.py:1551(__hash__)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      116    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      170    0.000    0.000    0.000    0.000 typing.py:1233(__eq__)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
       12    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
       24    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
        1    0.000    0.000    0.034    0.034 mbcsgroupprober.py:1(<module>)
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.011    0.011 chardistribution.py:1(<module>)
        1    0.000    0.000    0.063    0.063 sessions.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
