         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      207    0.000    0.000    0.002    0.000 typing.py:1538(<genexpr>)
      292    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       25    0.000    0.000    0.000    0.000 _make.py:94(attrib)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       25    0.000    0.000    0.001    0.000 copy.py:61(copy)
        1    0.000    0.000    0.002    0.002 selector_events.py:1(<module>)
        1    0.000    0.000    0.017    0.017 socket.py:1(<module>)
        2    0.000    0.000    0.001    0.001 http_proxy.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _types.py:1(<module>)
        2    0.000    0.000    0.353    0.177 connection.py:1(<module>)
      312    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       15    0.000    0.000    0.000    0.000 _make.py:2120(_attrs_to_init_script)
       78    0.000    0.000    0.000    0.000 token.py:34(__getattr__)
        1    0.000    0.000    0.012    0.012 _readers.py:1(<module>)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
       51    0.000    0.000    0.000    0.000 _make.py:2401(_default_init_alias_for)
       11    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       15    0.000    0.000    0.002    0.000 _make.py:2000(_make_init)
      321    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       51    0.000    0.000    0.002    0.000 typing.py:1496(copy_with)
        1    0.000    0.000    0.059    0.059 dammit.py:67(EntitySubstitution)
      311    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
       25    0.000    0.000    0.000    0.000 _make.py:2584(__getstate__)
        1    0.000    0.000    0.006    0.006 lowlevel.py:1(<module>)
      227    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      150    0.000    0.000    0.000    0.000 enum.py:246(__init__)
       16    0.000    0.000    0.003    0.000 _make.py:335(_make_attr_tuple_class)
    56/49    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
